Word,Definition,Examples
侃星,chatterbox,"[{""sentence"": ""['我的这位朋友真是个侃星。你和他一起工作不会感觉乏味的。']"", ""translation"": ""['My friend is a real chatterbox. You won’t get bored working with him.']""}]"
侃爷,big talker; someone who is good at boasting; someone full of hot air(American slang),"[{""sentence"": ""['他是这楼里的几位侃爷之一。']"", ""translation"": ""['He is one of the biggest talkers in the building.']""}]"
看西洋镜,get a glimpse into one’s personal life or secrets,"[{""sentence"": ""['别在这儿吻我，我可不是愿让人看咱们的西洋镜。']"", ""translation"": ""['Don’t kiss me now. I don’t like other people to see our private life.']""}]"
看涨,(of market prices)expected to rise,"[{""sentence"": ""['前几天他没有想到这种邮票会看涨。']"", ""translation"": ""['Several days ago he didn’t expect that the value of this stamp would rise.']""}]"
康师傅,Chef Kang-a brand of instant noodles,"[{""sentence"": ""['我早餐吃了一碗康师傅。']"", ""translation"": ""['I had a bowl of“Chef Kang” instant noodles for my breakfast.']""}]"
扛,stand;bear;tolerate;endure,"[{""sentence"": ""['这活再苦我也得扛着。']"", ""translation"": ""['I have to stand it no matter how hard the work is.']""}]"
ＣＡＬＬ机,pager;beeper(used mostly in the 1990s of the 20th century),"[{""sentence"": ""['他只给我留下个ＣＡＬＬ机号，说有事就ＣＡＬＬ他。']"", ""translation"": ""['He only gave me a pager number and told me to call him when I needed to find him.']""}]"
棵,a hundred-yuan bill,"[{""sentence"": ""['那个小贩每天至少挣三棵。']"", ""translation"": ""['The street vendor makes at least three hundred yuan a day.']""}]"
呵碜,ugly,"[{""sentence"": ""['这是你包的饺子呀，真够呵碜的。']"", ""translation"": ""['Did you make this dumpling? It’s so ugly.']""}]"
可圈可点,"Originally this referred to making circles or dots on a manuscript as notation, or to draw attention. Later it was used to mean that something has both good and bad points, or that something is worth noticing and making further study.","[{""sentence"": ""['不要把小王说的一无是处。他这个人还是可圈可点的地方嘛。']"", ""translation"": ""['You shouldn’t make Xiao Wang out to be completely lacking in redeeming qualities. He’s got his good points.']""}]"
剋,scold,"[{""sentence"": ""['这件事本是你做的不对。怎么，还不许人家剋你几句呀？']"", ""translation"": ""['Actually you didn’t do it right. How come you wouldn’t let them scold you.']""}]"
肯节儿,"at the critical moment, at a turning point","[{""sentence"": ""['马上就是高考了，可他偏偏在这个肯节儿一病了。']"", ""translation"": ""['The college entrance exams are around the corner, but he became sick at the critical moment.']""}]"
空嫂,married stewardess,"[{""sentence"": ""['每次乘坐民航，你都能享受到空嫂提供的热情而周到的服务。']"", ""translation"": ""['Every time you fly you can enjoy the warmth and good services given by the married stewardesses of CAAC.']""}]"
空手道,petty thief; pilferer(a term originally used in karate),"[{""sentence"": ""['乘坐公共汽车要当心，提防着那些空手道对你下手。']"", ""translation"": ""['Be careful when you take a public bus for you might be the target of those petty thieves.']""}]"
空调,"air-conditioner/A term used to describe an empty talker or someone who simply pays lip service. The term, which also means“empty adjustment” emerged during the teacher salary reform. The department concerned announced the rise in teacher salaries but took a long time before actually implementing the change, hence the term.","[{""sentence"": ""['我听说今年十月又要调工资了。这次不会又是“空调”吧？']"", ""translation"": ""['I heard that we will have a salary rise this October. It won’t be an empty promise again this time, will it?']""}]"
控办,"commodities purchased for office use are controlled/The government controls the purchase of many expensive household commodities (furniture, television, tape recorders, etc. in the 1980s of the 20th century)for office use.","[{""sentence"": ""['几年前家具还是控办商品。']"", ""translation"": ""['Furniture was listed as a controlled commodity for office use several years ago.']""}]"
口碑,reputation; fame,"[{""sentence"": ""['这个口牌的电视机在这里已经卖了好几年了，口碑不错，顾客都认它。']"", ""translation"": ""['This brand of television has been sold here for several years and had a good reputation. It has a good market in this city.']""}]"
口头禅,pet expression,"[{""sentence"": ""['A--你还记得七十年代人们流行的口头禅是什么吗？\\\\nB--怎么不记得，“向毛主席保证。”']"", ""translation"": ""['A--Do you still remember the most popular expression used in China in the 1970s?\\\\nB--Of course I do.“In Chairman Mao’s name.” how could I ever forget it!']""}]"
块儿,lump; chunk; piece; cube,"[{""sentence"": ""['她给孩子买了些糖块儿。']"", ""translation"": ""['She bought some lumps of sugar for her child.']""}]"
款,rich person; money bags,"[{""sentence"": ""['他五年前开始种花，如今也算是这小镇上的一个款。']"", ""translation"": ""['He started growing flowers five years ago. Now he’s considered a rich man in the small town.']""}]"
款姐,rich sister/An intimate term for a rich woman.,"[{""sentence"": ""['如今她是个款姐了，出门就打的。']"", ""translation"": ""['She is a rich woman now. Every time she goes out, she takes a taxi.']""}]"
狂,arrogant; over bearing,"[{""sentence"": ""['这人没多大本事，可还挺狂。']"", ""translation"": ""['He is very arrogant, but quite useless.']""}]"
拉钩,pull each others’ little fingers/A term which refers to making a promise or swearing to do sth.,"[{""sentence"": ""['我看完这本书就还你，不信咱们可以拉钩。']"", ""translation"": ""['I’ll return this book after I finish it. If you don’t believer me, we’ll pull fingers on it.']""}]"
辣妹子,"hot girl/A girl who is bold, hot-and quick-tempered with a sharp tongue.","[{""sentence"": ""['跟她打交道要小心点儿，她可是出了名的辣妹子。']"", ""translation"": ""['Be careful dealing with her. She is know as a vixen.']""}]"
来菜,do business; have a chance; have sth. to do,"[{""sentence"": ""['如果再不来菜，这厂子就要关板儿了。']"", ""translation"": ""['The factory will close down if it runs out of business.']""}]"
来劲,get excited; become alive; get pumped up; become full of energy; inspire,"[{""sentence"": ""['听说要与别的队比赛，他们马上来劲了。']"", ""translation"": ""['They got pumped up the minute they heard about the competition with the other team.']""}]"
来三,smart and capable,"[{""sentence"": ""['侬（你）来三。']"", ""translation"": ""['You are smart.']""}]"
赖,bad; no good; poor,"[{""sentence"": ""['你的办公条件还不赖。']"", ""translation"": ""['Your working conditions are not bad.']""}]"
懒汉鞋,“lazy man’s shoe”/A shoe that has a cloth cover and no shoestrings.,"[{""sentence"": ""['老年人喜欢穿懒汉鞋，因为它轻松舒适，而且易穿脱。']"", ""translation"": ""['The old like to wear lazy man’s shoes because they are soft and comfortable and easy to put on and take off.']""}]"
捞,to easily bring or take something,"[{""sentence"": ""['他每次回家都能捞点东西回来。']"", ""translation"": ""['He always takes something back whenever he goes home.']""}]"
劳模,model worker,"[{""sentence"": ""['她是全国十大劳模之一。']"", ""translation"": ""['She is one of the top ten model workers in the country.']""}]"
老帮子,old person; old fogy; old fart/An impolite term for the elderly.,"[{""sentence"": ""['别烦我，你这老帮子。']"", ""translation"": ""['Don’t bother me, you old fogy.']""}]"
老不死的,(swearword or intimate term) old fellow; old folk; old fogy; old fart/An impolite term for the elderly.,"[{""sentence"": ""['天快黑了，那个老不死的到哪儿去了？']"", ""translation"": ""['Where’s the old fart gone ? It’s getting dark.']""}]"
老大,Literally it means the eldest of sisters and brothers./ A metaphor for a head of a gang or a bandit chieftain.,"[{""sentence"": ""['他要见你们老大，有要事相商。']"", ""translation"": ""['He wants to see your head and has something important to discuss.']""}]"
老到,experienced; sophisticated; considerate; careful,"[{""sentence"": ""['这家伙精明老到。你不是他的对手。']"", ""translation"": ""['He is very shrewd and sophisticated. You are no match for him.']""}]"
老赶,amateur;nonprofessional person; layman,"[{""sentence"": ""['论做生意我中是老赶。']"", ""translation"": ""['I’m a layman in the trade.']""}]"
老公,husband; old man; hubby.,"[{""sentence"": ""['她老公是司机。']"", ""translation"": ""['Her hubby is a driver.']""}]"
老家儿,parents,"[{""sentence"": ""['出国留学的事最好跟老家儿打个招呼，免得他们为你担心，还以为你找不到工作呢。']"", ""translation"": ""['You’d better tell your parents  about your plan to go abroad to study just in case they are worried about you because they thought you couldn’t find a job.']""}]"
老冒儿,country person; layman; hick; ignorant and ill-informed person.,"[{""sentence"": ""['你真老冒儿，连什么是BP机都不知道。']"", ""translation"": ""['You’re such a hick- you don’t even know what a pager is.']""}]"
老模砢碜眼,ugly;unsightly; bad looking/ A derogatory term that describes those who are old and not good looking any more.,"[{""sentence"": ""['她认为自己老模砢碜眼的，穿什么也不会好看。']"", ""translation"": ""['She thinks she’s so old and ugly that noting will look good on her.']""}]"
老蔫（儿）,"slowpoke; slow, sluggish, slothful person; taciturn person","[{""sentence"": ""['我那口子可是个典型的老蔫儿。他干起活儿那叫一个慢，谁看了都着急。']"", ""translation"": ""['My husband is a typical slowpoke. He does things so slowly that anyone watching feels exasperated.']""}]"
老鼠会,a mouse meeting (association)/A metaphor for a pyramid sale.,"[{""sentence"": ""['前两年全国各地有不少老鼠会。我听说过，但没有参加过。']"", ""translation"": ""['Two years ago there were many mouse associations all over the country. I heard of them, but didn’t join in.']""}]"
老外,foreigner,"[{""sentence"": ""['她嫁给一个老外，跟他出国了。']"", ""translation"": ""['She married a foreigner and went abroad.']""}]"
老爷子,father; dad,"[{""sentence"": ""['今天你可以来，因为老爷子不在家。', '你得大声跟这位老爷子说话，他的耳朵背。']"", ""translation"": ""['You can come today because my father’s not at home.', 'You have to speak louder to the old man. His hearing is bad.']""}]"
老子,father,"[{""sentence"": ""['她老子是大官儿。']"", ""translation"": ""['Her dad is a high-ranking official.']""}]"
唠,chat; talk,"[{""sentence"": ""['我们有几年没见面了，今晚咱们好好唠一唠。']"", ""translation"": ""['We haven’t seen each other for years. Let’s have a good gab tonight.']""}]"
落忍,feel all right(comfortable or natural); have peace of mind; feel at ease,"[{""sentence"": ""['你怎么能落忍让这么小的孩子干这么重的活儿。']"", ""translation"": ""['How could you feel at ease making the little child do such heavy work?']""}]"
雷子,cop; policeman; public security man,"[{""sentence"": ""['小偷让雷子盯上了。']"", ""translation"": ""['The thief was tailed by a cop.']""}]"
愣,distracted; stupefied; blank,"[{""sentence"": ""['你站在这儿发什么愣呢？']"", ""translation"": ""['Why are you standing here staring blankly?']""}]"
礼拜,week,"[{""sentence"": ""['一个礼拜有七天。']"", ""translation"": ""['There are seven days in a week.']""}]"
立马儿,immediately; at once; right away,"[{""sentence"": ""['如事情紧急我立马儿就走。']"", ""translation"": ""['I will go at once if it is urgent.']""}]"
晾,purposely ignore; intentionally brush aside,"[{""sentence"": ""['她只愿同朋友聊天，把我晾在一边。']"", ""translation"": ""['She talked with her friends and ignored me.']""}]"
亮点,(lit.) a bright spot/A metaphor for (sb. or sth) to be attractive; eye-catching; attract attention.,"[{""sentence"": ""['澳门回归无疑会是去年的一个亮点。']"", ""translation"": ""['The return of Macao to her motherland was no doubt one of last year’s attention attracting events.']""}]"
靓仔,good looking man; handsome young man,"[{""sentence"": ""['他是影视界最受欢迎的靓他。']"", ""translation"": ""['He is the most popular good looking man in the movie and television circles.']""}]"
了了,be over ; end ; finish ; settle,"[{""sentence"": ""['这事了了之后，我就去海边度假。']"", ""translation"": ""['I’ll take a beach vacation after the task is over .']""}]"
猎头,head hunting ; look for senior talented people in all kinds of fields,"[{""sentence"": ""['猎头公司是一个专门为客户猎头，推荐所需人才的服务公司。']"", ""translation"": ""['A head hunting agency is a service company which engages in head hunting and recommending required talents to its agents .']""}]"
零碎儿,odds and ends ; bits and pieces,"[{""sentence"": ""['谁能帮我把这些零碎儿扔出去？']"", ""translation"": ""['Who can help me throw these odds and ends out of the room ?']""}]"
另类,"a different ,special ,completely new way or fashionable type or trend","[{""sentence"": ""['他在力求探索一种全新的写作方式，根本不在乎是否别人会将他的作品视为另类。']"", ""translation"": ""['He is trying a completely new way of writing and doesn’t care whether others will consider his work special or not .']""}]"
溜,skilled ; fluent,"[{""sentence"": ""['她英语讲得挺溜。']"", ""translation"": ""['She speaks English very fluently .']""}]"
撸,rub one’s palm along (sth.),"[{""sentence"": ""['我手上都是泥。你能帮我把袖子撸一下吗？']"", ""translation"": ""['My hands are dirty .Could you help me push up my sleeves ?']""}]"
抡,slap one’s face ; hit ; beat ; swing,"[{""sentence"": ""['他狠狠地抡了那家伙一个耳光。']"", ""translation"": ""['He slapped the guy’s face hard .']""}]"
抡圆了,swing one’s arms with all one’s might ; exert all one’s strength,"[{""sentence"": ""['他抡圆了给那小子一个耳光。']"", ""translation"": ""['He walloped that guy in the face .']""}]"
落单,widow / widower,"[{""sentence"": ""['孤独寂寞是那些落单老人最大的敌人。']"", ""translation"": ""['Loneliness is the greatest enemy of widows widowers .']""}]"
码,put in order; pile up; stack,"[{""sentence"": ""['把书码在墙角。', '她帮我把服装按号的大小码好。']"", ""translation"": ""['pile up the books in the corner.', 'She helped me put the clothes in order according to size.']""}]"
马大嫂,"“Madam Ma”/In Shanghai dialect the three words sound the same as the words for shopping, washing and cooking. It refers to a woman or man who does housework.","[{""sentence"": ""['小李自从结婚后便当了马大嫂。']"", ""translation"": ""['Xiao Li became a housewife after she got married.']""}]"
马爷,cop; policeman,"[{""sentence"": ""['别看他现在狂得很，可一见马爷就(尸song2)']"", ""translation"": ""['Although he’s very arrogant now, he looks weak and incompetent as soon as he sees cop.']""}]"
马子,girlfriend ; lover,"[{""sentence"": ""['今晚他准备带着马子去看电影。']"", ""translation"": ""['He plans to take his girlfriend to see a movie tonight.']""}]"
脉门,key; heart; the most important part,"[{""sentence"": ""['如果你找到事情的脉门，你就能顺利地解决矛盾。']"", ""translation"": ""['If you get to the heart of the matter, you’ll solve the problem easily.']""}]"
卖相,exterior; outward appearance; packaging,"[{""sentence"": ""['顾客越来越注重商品的卖相。']"", ""translation"": ""['Customers pay more attention to the packaging of goods than to the goods themselves.']""}]"
蛮,pretty; quite,"[{""sentence"": ""['这人还是蛮能干的。']"", ""translation"": ""['He is quite a capable man.']""}]"
满地找牙,"be badly beaten; be seriously battered(lit., pick one’s teeth up from the ground)","[{""sentence"": ""['你听着，下次再来捣乱我就让你满地找牙。']"", ""translation"": ""['Believe me. I’ll have your teeth knocked off next time if you come to trouble me.']""}]"
满脸旧社会,"It refers to someone with a weather-worn face, filled with wrinkles, as if he or she had gone through a very hard life.","[{""sentence"": ""['你长得多喜庆啊，不像我满脸旧社会的，难怪女孩子都爱跟你说话。']"", ""translation"": ""['You have a joyful book, not like me with my weather-worn face. No doubt girls all like to talk with you.']""}]"
满脸双眼皮,have a wrinkly face,"[{""sentence"": ""['三十年前她是个漂亮的姑娘，可如今是满脸双眼皮。']"", ""translation"": ""['She was a very pretty girl thirty years ago, but now her face is full of wrinkles.']""}]"
忙活,be busy; bustle with,"[{""sentence"": ""['为了结婚她已经忙活了在三天。']"", ""translation"": ""['She has been busy for three days on account of her wedding.']""}]"
猫,hide,"[{""sentence"": ""['你猫在那儿干吗？', '他偷了钱就猫起来了。']"", ""translation"": ""['Why on earth are you hiding there?', 'He stole some money and went underground.']""}]"
猫眼（儿）,"peephole, such as those with fisheye lenses found on doors in hotels or households","[{""sentence"": ""['他不开门，只透过猫眼儿就能直清门外的一切。']"", ""translation"": ""['He can see everything clearly through the peephole on the door without having to open it.']""}]"
毛,same as jiao/A fractional unit of money in China(=1/10 of a yuan or 10 fen).,"[{""sentence"": ""['从上个月起每份晚报已由四毛涨到了五毛。']"", ""translation"": ""['Since last month the price of the Beijing Evening Daily has risen from four mao(forty fen)to five mao(fifty fen).']""}]"
毛毛雨,drizzle/A metaphor for something not very important or serious.,"[{""sentence"": ""['他有的是钱。我们涨这么一点价对只不过是毛毛雨罢了。']"", ""translation"": ""['He is well off. It doesn’t matter at all if we put the price up a little bit.']""}]"
毛票,commemorative stamp of Mao zedong,"[{""sentence"": ""['在集邮市场一张毛票能卖到千元。']"", ""translation"": ""['In the stamp market one commemorative stamp of Mao Zedong can be sold at one thousand yuan RMB.']""}]"
毛腔,swear; curse; lose one’s temper,"[{""sentence"": ""['他总是顺从他老婆，从不发半点我毛腔。']"", ""translation"": ""['He’s always an obedient husband, and never loses his temper.']""}]"
冒泡,have business ; have a deal,"[{""sentence"": ""['由于下雨，我已三天没冒泡了。']"", ""translation"": ""['I haven’t had a deal for three days because of the rain.']""}]"
冒儿爷,clodhopper; country bumpkin; stupid person; dodo,"[{""sentence"": ""['你可真是个冒儿爷，连西装袖口上的商标也不摘就这么穿出去了，不叫人笑话才怪呢。']"", ""translation"": ""['You’re really a bumpkin. How could you wear this suit without removing the label from the sleeves. There is no doubt that people would have laughed at you.']""}]"
没好气,hostile; impolite; unkind; feel bad; turn a cold eye,"[{""sentence"": ""['我曾被狗咬过，所以每当我看到狗时，我就对它没好气。', '我不喜欢他，所以跟他说话总是好气。']"", ""translation"": ""['I was injured by a dog so whenever I see one, I’ll turn a hostile look on it.', 'I always speak impolitely to him because I don’t like him.']""}]"
没门儿,have no way out; have no idea.,"[{""sentence"": ""['别指望我多搞些票，我可没门儿。']"", ""translation"": ""['Don’t depend on me. I have no ideas how to get more tickets.']""}]"
没谱,unsure; unrealistic; be irrelevant; unsettled,"[{""sentence"": ""['你还得再多等会儿，这事还没谱。', '他说话总是没谱。']"", ""translation"": ""['You have to wait longer because the matter has not been settled yet.', 'You have to wait longer because the matter has not been settled yet.']""}]"
没起子,spineless;good-for-nothing; hopelessly stupid,"[{""sentence"": ""['他真没起子。']"", ""translation"": ""['He is good-for-nothing']""}]"
没商量,be settled; impossible to change; have no room to reconsider,"[{""sentence"": ""['你没必要去找他。无论对错，只要他决定的事就绝对没商量。']"", ""translation"": ""['You needn’t go to see him. No matter what he decides, 'right or wrong', he won’t change his mind.']""}]"
没戏,have no hope; hopeless; impossible/A term that originally referred to a dull and uninteresting performance.,"[{""sentence"": ""['想晋升你没戏，你不是他们想要的那种人。']"", ""translation"": ""['There’s no way for you to get promoted. You’re not the person they want.']""}]"
没着没落,unsteady; unsure; anxious,"[{""sentence"": ""['她一接不到儿子的信，心里就没着没落的。']"", ""translation"": ""['She always gets anxious when she doesn’t receive a letter from her son.']""}]"
没辙,have no way out; have no solution,"[{""sentence"": ""['如果他们不同意放你走，我也没辙。']"", ""translation"": ""['I have no solution if they don’t agree to let you go.']""}]"
没主,belongs to nobody,"[{""sentence"": ""['我捡了一个没主的钱包。']"", ""translation"": ""['I found a purse which nobody claimed.']""}]"
没准儿,perhaps; maybe,"[{""sentence"": ""['没准儿他今天不来了。']"", ""translation"": ""['Perhaps he won’t come today.']""}]"
美不劲儿的,an expression of delight and joy,"[{""sentence"": ""['看他美不劲儿的，一定是有什么好事了。']"", ""translation"": ""['Look, how delighted he is! Something good must have happened.']""}]"
美眉,pretty girl,"[{""sentence"": ""['你们公司可有不吵美眉。什么时候也给我介绍一个行不行？']"", ""translation"": ""['There are many pretty girls in your company. Would you introduce one to me someday?']""}]"
美食,delicious food,"[{""sentence"": ""['中国被誉为美食国，有丰富的美食文化。']"", ""translation"": ""['China is known as a country of delicious fare with a rich cuisine.']""}]"
美子,Us dollar; buck,"[{""sentence"": ""['她才从美国回来，手头一定有不少美子。']"", ""translation"": ""['She’s just come back from the United States. She must have a lot of US dollars.']""}]"
门脸,appearance/A term that mostly refers to facial appearance(mainly a beard or moustache) and hair.,"[{""sentence"": ""['你该修一修门脸了。']"", ""translation"": ""['You’d better have a shave and a haircut.']""}]"
门前清,clear the ground in front of one’s gate or street/A metaphor for one to down their wine or liquor during a meal.,"[{""sentence"": ""['他建议大家来个门前清。']"", ""translation"": ""['He suggested that everyone down their wine.']""}]"
门儿清,know sb. Or sth. completely; know like the back of one’s hand.,"[{""sentence"": ""['我们从小青梅竹马，他对我的背景绝对门儿清。']"", ""translation"": ""['We grew up together, so he knows me like the back of his hand.']""}]"
猛料,"unexpected, very important news","[{""sentence"": ""['这家报纸刚上市时登出了很多猛料，一下子吸引了不少的读者。']"", ""translation"": ""['This newspaper published a lot of big, 'unexpected news when it hit the market', and attracted many readers.']""}]"
眯瞪,have a nap,"[{""sentence"": ""['别打搅我。我想眯瞪一会儿。']"", ""translation"": ""['Don’t bother me. I want to have a nap.']""}]"
面,weak; lax; slow,"[{""sentence"": ""['他干事特别面。']"", ""translation"": ""['He is lax about doing things.']""}]"
面的,taxi minivans common in Beijing nicknamed“bread boxes” because of their appearance,"[{""sentence"": ""['多数人喜欢坐面的，因为它既经济又实惠。']"", ""translation"": ""['Most people prefer the minivan taxis because they are cheap and practical.']""}]"
名模,supermodel; famous model,"[{""sentence"": ""['她梦想有一天成为一个名模。']"", ""translation"": ""['She dreams of becoming a supermodel one day.']""}]"
命门,point of weakness; Achilles’ heel/A term meaning a matter of vital importance.,"[{""sentence"": ""['经济改革是中国未来发展的命门。']"", ""translation"": ""['The economic reforms are a matter of vital importance in China’s future development.']""}]"
模仿秀,imitation show/A show in which people mimic stars(usually singers).,"[{""sentence"": ""['北京有线电视台搞的模仿优秀节目吸引了全国许多青年人报告参加。']"", ""translation"": ""['The imitation show program organized by Beijing Cable Television Station has attracted many young participants from all over the country.']""}]"
磨牙,argue endlessly; talk nonsense,"[{""sentence"": ""['我没事撑的和你在这儿磨牙。']"", ""translation"": ""['Have I got nothing to do so I argue with you here?']""}]"
磨磨唧唧,be slow tempered; act slowly; hesitate in speech or in action; talk in a roundabout way; hum and ha,"[{""sentence"": ""['别磨磨唧唧的，如果你真喜欢就买下来。', '快点！别磨磨唧唧。']"", ""translation"": ""['Don’t hesitate. If you really like it, buy it.', 'Hurry up! Don’t dawdle.']""}]"
木头疙瘩,wood; lumber; timber,"[{""sentence"": ""['你带回这么一块木头疙瘩有什么用？']"", ""translation"": ""['What’s the use of this piece of wood you brought back?']""}]"
拿糖,put on airs; strike a pose to impress people; give oneself airs,"[{""sentence"": ""['他从不拿糖，而且总是有求必应。']"", ""translation"": ""['He never gives himself airs in front of people and does whatever you ask for.']""}]"
奶水,(lit.)mile/A metaphor for the profit one gets after offering a bribe.,"[{""sentence"": ""['这两年他凭着各种关系搞到不少奶水多的大项目。']"", ""translation"": ""['In the two years he acquired many profitable projects by relying on his various relations.']""}]"
脑体倒挂,situation where workers are making more than intellectuals,"[{""sentence"": ""['脑体倒挂是一种奇怪的现象。']"", ""translation"": ""['It’s odd to see the phenomenon where intellectuals are earning less than workers.']""}]"
闹心,be terribly upset; be agitated; irritate; be restless,"[{""sentence"": ""['这坏消息真让我闹心。', '把迪斯科音乐关小声点，真够闹心的。']"", ""translation"": ""['The bad news made me terribly upset.', 'Turn down the disco music a little bit. It makes me feel restless.']""}]"
能耐,skill; ability,"[{""sentence"": ""['别看他不大，能耐可不小。']"", ""translation"": ""['He has great ability though he is only a little boy.']""}]"
蔫（儿）不唧唧,(of a person) to be in low spirits,"[{""sentence"": ""['她今天怎么了，蔫儿不唧唧的?']"", ""translation"": ""['She is always quiet and seldom speaks to others.']""}]"
蔫（儿）坏,privately do bad things,"[{""sentence"": ""['他看上去老实，实际上蔫（儿）坏。']"", ""translation"": ""['He looks very honest, but he does had things in secret.']""}]"
黏糊,sticky; glutinous,"[{""sentence"": ""['这种胶特别黏糊。']"", ""translation"": ""['This kind of glue is very sticky.']""}]"
鸟语,"Dialect, usually the Cantonese dialect","[{""sentence"": ""['他一给女友打电话就说鸟语，生怕我们听到他在说什么。']"", ""translation"": ""['He speaks Cantonese whenever he calls his girlfriend, so as to keep us from understanding what he says.']""}]"
牛,proud ;arrogant ; self-important,"[{""sentence"": ""['自他兜里的钱多了以后, 人也变得牛了。']"", ""translation"": ""['Since he became rich he’s become very arrogant .']""}]"
牛皮糖,sticky candy / A metaphor for one who is hard to deal with or get rid of .,"[{""sentence"": ""['我今天真倒霉，又碰上了一个牛皮糖顾客。']"", ""translation"": ""['I was unlucky today to meet a customer who was so hard to deal with .']""}]"
牛气,very proud and arrogant ; cocky ; complacent,"[{""sentence"": ""['你既无钱又无房，有什么可牛气的？']"", ""translation"": ""['What could you be cocky about ?You’re got neither bags of money nor a beautiful house .']""}]"
弄潮儿,"tide player / A reformer or one who fights against old customs and influences ,or a pioneer .","[{""sentence"": ""['他们被誉为时代的弄潮儿。', '自从经济改革以来，涌现出一大批弄潮儿。']"", ""translation"": ""['They are known as progressives of the age .', 'Large numbers of groundbreakers have emerged since the economic reform .']""}]"
呕吔,"Oh yeh. / An exclamation expressing happiness, encouragement, or agreement.","[{""sentence"": ""['他刚刚宣布明天去郊游的消息，就听到教室里响起一片呕吔声。']"", ""translation"": ""['He heard loud cheers of“Oh Yeh” in the classroom as soon as he finished announcing the news of an outing the next day.']""}]"
趴活,wait for business (usually referring to taxi drivers),"[{""sentence"": ""['昨天的一起交通事故正好被当时在路边一位趴活的出租车司机看见了。他是这起事故的唯一目击证人。']"", ""translation"": ""['The traffic accident yesterday happened to be seen by a taxi driver who had stopped at the roadside to wait for business. He was the only witness to the accidents.']""}]"
扒拉,eat; stuff/A term that actually refers to the action of putting food(rice or vegetables from a bowl or dish) into one’s mouth.,"[{""sentence"": ""['她随便扒拉了两口饭就急急忙忙的走了。']"", ""translation"": ""['She ate something and left in a hurry.']""}]"
拍婆子,chase a young woman(derogatory),"[{""sentence"": ""['我几天都没见他的影子了。我猜他一定在哪儿拍婆子呢。']"", ""translation"": ""['I haven’t seem him for a few days. I guess he’s been chasing a young woman.']""}]"
派,impressive,"[{""sentence"": ""['他穿上这套西装够派的。']"", ""translation"": ""['He looks quite impressive in his new suit.']""}]"
盘儿亮,good-lookng; beautiful,"[{""sentence"": ""['你的女友盘儿够亮的。']"", ""translation"": ""['Your girlfriend is good–looking.']""}]"
跑水,to flood because of a pipe leak or a blocked up pipeline.,"[{""sentence"": ""['这里怎么有这么多水，一定是哪里跑水了。我们赶快查一下吧。']"", ""translation"": ""['Why is there so much water here ? There must be flooding somewhere nearby .Bet’s go and check it out right away.']""}]"
泡妞,flirt with girls ; spend time with girls; chase girls; womanize.,"[{""sentence"": ""['他下班后常去酒吧泡妞。', ':他到哪儿去了？一定又在泡妞。']"", ""translation"": ""['He often flirting with girls in bars after work.', 'Where has he gone? He must be flirting with girls somewhere']""}]"
喷粪,swear; curse; say dirty words.,"[{""sentence"": ""['他这个人文化素质太低，一急起来就满嘴喷粪。']"", ""translation"": ""['He’s poorly educated because his mouth is full of dirty words when he gets angry.']""}]"
皮包公司,"a briefcase company / A company or a person which has few assets, few employees and mainly engages in consulting, buying and reselling. The only thing needed to run this sort of company is a briefcase.","[{""sentence"": ""['跟他打交道你可别全信他。他的公司只不过是个皮包公司。']"", ""translation"": ""['Don’t trust him fully when you do business with him. His company is only a briefcase company.']""}]"
痞子,rascal; scoundrel; ruffian,"[{""sentence"": ""['他在一部电影中扮演一个小痞子。']"", ""translation"": ""['He played the role of a little rascal in a movie.']""}]"
屁驴子,bicycle that runs on a motor,"[{""sentence"": ""['许多人买不起摩托车，便自己动手攒屁驴子。']"", ""translation"": ""['Many people can’t afford to buy a motorcycle, so they assemble bicycles with motors.']""}]"
片儿警,local regional policeman/ A policeman in charge of the public order of a local region or a residential area.,"[{""sentence"": ""['他是这儿新来的片儿警。']"", ""translation"": ""['lazy man’s shoes have become popular with the young.']""}]"
片儿汤,doughflake soup; soup in which flakes of dough are boiled,"[{""sentence"": ""['我父亲最爱吃片儿汤。']"", ""translation"": ""['Doughflake soup is my father’s favorite.']""}]"
飘,float in the air; flutter,"[{""sentence"": ""['我看见到天空中有个风筝在飘。']"", ""translation"": ""['I can see a kite fluttering in the sky.']""}]"
漂白,bleach; whitewash/Refers to sinister gangsters who whitewash their image.,"[{""sentence"": ""['一些最大的毒品贩子也想晋身政坛，以政治人物来漂白以前的身份。']"", ""translation"": ""['Some of the biggest drug dealers went to change their image and go into politics.']""}]"
漂亮姐,beautiful woman; good-looking woman,"[{""sentence"": ""['他在那边与一位漂亮姐聊天。']"", ""translation"": ""['He used to work as a person who persuades people to take a minibus in return for a cut of the fares, and later he became a tourist guide.']""}]"
平蹚,do whatever one likes without interference,"[{""sentence"": ""['他在这一带小有名气，而且可以平蹚。']"", ""translation"": ""['He has a little fame and can do anything he wants in this region without interference.']""}]"
平推,sell without turning a profit,"[{""sentence"": ""['现在这种衬衫的样子已过时了，所以摊主决定将余下的衬衫平推出去。']"", ""translation"": ""['This style of shirt has long since gone out of fashion, so the stall owner decided to sell it without turning a profit.']""}]"
