lang,slang,conv_def_en,conv_def,slang_definition,slang_definition_en
ru,амортизатор,shock absorber,"амортизатор, механическое устройство для поглощения ударов и вибраций","Женская грудь, особенно крупная или заметно выделяющаяся.",Tits;
ru,анаша,a type of hemp plant,растение конопли,"Наркотическое вещество, получаемое из конопли, также известное как марихуана.","Marijuana, cannabis, hemp. Loaned from Kazakhнаше."
ru,анашист,anarchist,анархист,"Человек, употребляющий марихуану или предпочитающий анашу.","Pot-head, consumer of marijuana;"
ru,АПВС?,Why do you ask?,Почему ты спрашиваешь?,"Шутливое сокращение от фразы «А почему вы спрашиваете?», употребляемое в ответ на вопрос для выражения интереса к причине его задавания.","Short forА пачиму ви спгашиваете?, which isа почему вы спрашиваете?pronounced with a supposedly Jewish accent. Loosely similar to WUU2 (what are you up to?)."
ru,арбуз,watermelon,"арбуз, большой зелёный фрукт с полосками, красной сочной мякотью и чёрными семенами внутри",Сленговое обозначение миллиарда рублей или долларов.,Billion;
ru,армянская королева,Armenian queen,армянская королева,"Жаргонное выражение, обозначающее пассивного гомосексуала, подвергшегося сексуальному унижению.","Passive homosexual, literally an “Armenian queen” (Armenians are rumoured to be fond of sodomy)."
ru,аська,instant messaging program,программа мгновенного обмена сообщениями,"Программа для мгновенного обмена сообщениями ICQ, широко используемая в компьютерном сленге.",The instant messaging program ICQ (computer slang).
ru,атасный,"terrible, critical","страшный, ключевой","Очень хороший, выдающийся, вызывающий восхищение.","Cool, neat, brilliant, great, splendid."
ru,атошник,ATO participant,участник антитеррористической операции,"украинский военнослужащий, проходивший службу в Донбассе в период с 2014 по 2022 год в рамках антитеррористической операции",Ukrainian soldier who served between 2014 and 2022 in the Donbass as part of the anti-terrorism operation (АТО — анти-террористическая операция).
ru,афедрон,a container for holding powder,Контейнер для порошка,"Задняя часть тела, ягодицы; в устаревшем значении — анус. Заимствовано из греческого языка и используется как более изящное обозначение этой части тела.","Bum, backside, the initial and now obsolete meaning is “the anus”. It is borrowed from the Greek word αφεδρών (anus) and is not quite a slang word but rather and elegant way of referring to the anatomy."
ru,афтар,author,автор,"Искажённая форма слова «автор», используемая в интернете для обозначения человека, написавшего сообщение, пост или комментарий.","Author, deformation ofавтор. Alternate orthography:аффтар. The author is usually the writer of an internet post (in a blog or on a forum)."
ru,аффтар жжот,author burns,автор горит,"Выражение, применяемое для похвалы автора за его яркое, остроумное или оригинальное высказывание или действие.","“The author rules”, one of the highest sign of respect and widely used appreciative comment. In proper Russian it should read:автор зажигает(i.e. the author sets on fire)."
ru,ахуеть,to be amazed or stunned,чувствовать удивление или шок,"Испытывать сильное удивление, поражение или шок.",Phonetic spelling ofохуеть.
ru,ахуй,to be stunned or shocked,чувствовать шок или удивление,"Сильное удивление, потрясение или эмоциональный шок.","State of big surprise, being awe-struck, experiencing an emotional schock. Derived fromохуеть."
ru,ахулиард,"no standard meaning, transliteration of a slang term","Нет стандартного значения, транслитерация сленгового слова","Очень большое количество, огромная сумма, несметное число, сопоставимое с хулиардом.","Incredibly big amount, very large sum, bazillion, comparable toхулиард."
ru,аццкий,hellish,адский,"Сленговое слово, производное от слова «адский», используется для описания чего-либо очень сильного, ярко выраженного, как в положительном, так и в отрицательном смысле.","Derived fromадский— hellish. It can convey both the meaning of something which is good, strong or the opposite meaning of something bad."
ru,б/п,without exaggeration,без преувеличения,"Без преувеличения, честно, без обмана.","Honestly, no kidding. Short forбез пизды."
ru,баба,woman,женщина,"Женщина, чаще взрослая, слово употребляется с оттенком пренебрежения.","Woman, usually older woman, slightly derogative."
ru,бабай,grandfather,"дедушка, пожилой мужчина из старшего поколения","Пожилой мужчина, обычно происходящий из восточных или центральноазиатских регионов.",Central Asian.
ru,бабки,grandmothers,бабушки,"Разговорное слово, обозначающее деньги.","Dough, money. Also known asбабульки. The name supposedly comes from the imperial banknotes bearing the portrait of Catherine II, which were called by the more criminal and less respectful “grannies”."
ru,бабломёт,money throwing device,машина для бросания денег,"Банкомат, автоматическое устройство для выдачи наличных денег.","Cash dispenser, ATM, “dough-launcher”. Also calledбабкомёт."
ru,бабник,womanizer,"мужчина, часто меняющий женщин в качестве партнёров","Мужчина, который часто меняет любовных партнерш.","Womaniser, skirt chaser."
ru,бабосики,little bucks,"Маленькие деньги, небольшая сумма денег","Деньги, особенно наличные.","Dosh, money."
ru,бабосы,large bags,"Большой мешок, предназначенный для хранения вещей.","Разговорное обозначение денег, наличных средств.","Money, dough."
ru,бабоукладчик,hair setter,прибор для укладки волос,"Алкогольный напиток с мягким вкусом и высокой крепостью, который используют для соблазнения женщин; так иногда называют такие напитки, как амаретто, мартини или бейлис.","Alcoholic beverage used to get women into bed, as a rule the strength of the drink is not perceptible at first. Amaretto or Martini are sometimes called that way."
ru,бавовна,cotton,хлопок,"Ироничное слово, обозначающее взрыв, возникшее из-за ошибочного перевода слова «хлопок» с русского на украинский; используется в СМИ как эвфемизм для описания взрывов.","Explosion. Ironical term that was created from a mistaken translation of Russian into Ukrainian: Russian authorities tend to call any major explosion aхлопок(clap), in this case the homographхлопок(coton) was translated. The mistake has replaced the euphemism in some media."
ru,базар,market,рынок,"Пустые разговоры, ненужные обсуждения.","Chatter, banter."
ru,базарить,"to market, to trade",совершать торговые операции,"разговаривать, вести беседу, болтать","To chatter, to talk."
ru,байстрюк,a child born out of wedlock,ребёнок вне брака,"Человек, рожденный вне брака; слово употребляется в оскорбительном значении.",Bastard. Ukrainian word meaning “illegitimate child” also used in Russian.
ru,бакинские,related to Baku city,Связанный с городом Баку,"Шутливое и ироническое название американских долларов, образованное от слова «бакс» и не имеющее отношения к городу Баку или Азербайджану.","Greenback, American Dollar. Ironical deformation ofбакс(means in fact “from Baku” but has nothing to do whatsoever with Azerbaijan)."
ru,бакс,buck,самец оленя,"Разговорное название доллара США; существительное мужского рода, во множественном числе — баксы.","Buck, US-Dollar. Loan word from American English (“bucks”), but it is considered as a singular in Russian. Plural isбаксы."
ru,балда,a simpleton or fool,простой человек или дурак,"Грубое разговорное слово, обозначающее мужской половой член; вариант слова «елда».","Dick, penis. Variant ofелда;"
ru,балдеть,to be numb or dazed,чувствовать онемение или оцепенение,"Испытывать сильное удовольствие, наслаждаться чем-либо.","To dig something, to strongly appreciate something."
ru,бандер,Bander,"бандер — транслитерация, не имеющая буквального значения","Мужчина, который управляет борделем; сутенёр.","Pimp, male manager of a brothel."
ru,"бандеровцы, бандерлоги",followers of Stepan Bandera,сторонник Степана Бандеры,"Украинские националисты, выступающие против российского влияния, преимущественно из Западной Украины; название происходит от имени Степана Бандеры, символа украинского независимого движения. В российской медиа-среде термин часто используется как обозначение фашистов.","Ukrainian nationalists with a strong aversion of Russian rule, usually from Western Ukraine. Named after Stepan Bandera (1909-1959), founder of the Ukrainian insurgent army (UPA) and the Organisation of Ukrainian Nationalists (OUN), symbol of Ukrainian independentism. Having collaborated with the Germans during WWII he is seen by Russian media as a synonym for fascism. The name is sometimes misspeltбендеры, бендеровцыand is used in the surreal compoundжидобандеровцы(implying the supposed Ukrainian fascists cooperate with Jewish forces)."
ru,бандерша,female member of the Banderist movement,участница движения Бандер,"Женщина, управляющая публичным домом.","Madam, female manager of a brothel;"
ru,бандерша,female member of the Banderist movement,участница движения Бандер,"Женщина, управляющая публичным домом.","Madam, female manager of a brothel;"
ru,банчить,to sell in small batches,продавать мелкими партиями,"Продавать что-либо, чаще всего незаконно; первоначально означало продавать наркотики мелкими партиями.","To sell, often not legally, initially means to sell drugs in small quantities."
ru,бараться,to struggle or strive,усилие или борьба,Совершать половой акт.,"To copulate. In old Russian the verb meant “to battle” and comes from a Slavic root meaning “to penetrate, to touch, to feel” (compare Bulgarianбарам, Macedonianбара)."
ru,бардак,messy room,беспорядочная комната,"Состояние полного беспорядка, неорганизованности или хаоса в делах или в каком-либо месте.","Brothel — figuratively means disorder, mess, chaos. Stems from the Frenchbordelwith a Russian suffix. The figurative meaning is more commonly used:"
ru,бардачный,related to a brothel,Прокурорский,"Характеризующийся беспорядком, неорганизованностью, хаотичностью.","Chaotic, unruly, disorderly."
ru,бардачок,small compartment or glove box in the front part of a car,бардачок автомобиля,Небольшой ящик или отделение в передней части салона автомобиля для хранения различных мелких предметов.,Glove compartment.
ru,барсук,badger,"Барсук, вид млекопитающего",Опытный гомосексуал в тюремной среде.,Experienced homosexual.
ru,барыга,small-scale trader,"Мелкий торговец, занимающийся куплей-продажей.","Человек, занимающийся незаконной торговлей товарами, часто крадеными или запрещёнными, например наркотиками.","Fence, seller of stolen goods, drug peddler."
ru,басран,no standard meaning,Без стандартного значения,"Пренебрежительное обозначение человека, которого считают никчёмным и бесполезным.","Git, useless individual."
ru,батончик,small loaf of bread,булочка из муки и воды,"Молодая проститутка, обычно девушка подросткового возраста.",Young prostitute (literally “small bun”).
ru,башка,head,голова,"Разговорное слово, обозначающее голову человека.","Head, probably borrowed from a Turkic language (Turkishbaş— head)."
ru,башли,no standard meaning,Без стандартного значения,"Деньги, наличные средства.","Dough, money."
ru,башлять,to shell out,оплачивать деньги,"Отдавать деньги, платить.","To give money, to pay."
ru,без пизды,without pussy,без половых органов,"Совершенно честно, без обмана и преувеличений.","No strings attached, no shit, honestly. Sometimes shortened toб/п."
ru,безмудый,without wisdom,без ума,"Мужчина, лишённый мужских половых признаков, кастрированный.","Emasculated, eunuch, castrated;"
ru,белокурва,blonde woman,Блондинка,"Женщина со светлыми волосами, которую считают глупой или легкомысленной.","Blond airhead, bimbo."
ru,берлять,to eat or chew food,есть или жевать пищу,Есть или жевать пищу.,"Munch, eat."
ru,беспонтовый,without points,нет очков,"Неинтересный, скучный, низкого качества или бесполезный; изначально применялось к веществу, не оказывающему эффекта.","Without interest, boring, badly done, useless. Initially drug addicts’ slang for a drug showing no effect."
ru,бздение,the act of producing or releasing gas from the digestive system,Отхождение газов из пищеварительной системы,Выход газов из кишечника через анальное отверстие.,"Farting, passing gas;"
ru,бздёнок,a small fart,небольшой выброс газа,"Человек, который часто пускает газы; устаревшее пренебрежительное выражение.",Person who farts frequently (obsolete).
ru,бздеть,to be afraid or scared,страх или боязнь,незаметно выпускать газы из кишечника,To fart silently;
ru,бздех,to fart quietly,тихо выпускать газ из кишечника,Тихое выделение газов из кишечника.,Passing of gas during a silent fart.
ru,бзднуть,to make a sudden movement or to startle,внезапное движение или испуг,Незаметно выпустить газы из кишечника.,To fart. Seeбздеть(ipf).
ru,бздун,coward,трус,"Оскорбительное прозвище для человека, который часто пускает газы.",Farter;
ru,бздун,coward,трус,"Оскорбительное прозвище для человека, который часто пускает газы.",Farter;
ru,бздюх,intestinal gas expelled through the anus,"газ, выходящий из прямой кишки","Грубое разговорное слово, обозначающее газы, выделяемые через анус с характерным звуком и запахом.",Fart.
ru,бикса,bitch,собака (самка),"Пренебрежительное обозначение женщины, которая ведёт себя вызывающе или распущенно.",Slut. Probably a loan from Tatarbüka(lady).
ru,бич,whip,"кнут, длинный предмет для управления животными или в качестве инструмента","Человек, не имеющий постоянного места жительства и средств к существованию.","Bum, homeless person."
ru,блат,network of connections,сеть связей между людьми,"Термин уголовного жаргона, обозначающий наличие связей или покровительства в преступной или неформальной среде.","Thieves’ lingo (loaned from Yiddish בלאַט [blat], gangster or criminal);"
ru,блат (по ~у),network of connections,сеть связей,"Использование личных связей, знакомств или неофициальных договорённостей для получения преимуществ.","Through relations, connexions, with kick-backs."
ru,блеать,bleat,блеяние овцы,"Искажённая форма грубого слова, используемая для выражения сильных эмоций или усиления высказывания.",Deformation ofблядь.
ru,блевать,to vomit,рвота,Испытывать тошноту и извергать содержимое желудка через рот.,"To puke, to barf, to vomit."
ru,блевотина,vomit,рвотные массы,"Массы, выброшенные из желудка через рот при рвоте.","Puke, vomit."
ru,блин,pancake,"блин, плоская круглая еда","Смягчённое восклицание, выражающее удивление, раздражение или другие сильные эмоции.",Euphemism forблядь. Means “pancake” in standard Russian.
ru,блохастик,little flea-covered one,покрытое маленькими блохами,"Собака, обычно бездомная или плохо ухоженная.","Fleabag, dog."
ru,бля,damn,"слово, выражающее проклятие или сильные эмоции","Восклицание, сокращённая форма грубого слова, употребляемое для выражения удивления, раздражения или других сильных эмоций.","Exclamation, contraction ofблядь."
ru,блядивый,related to prostitution,связанный с проституцией,"Склонный к распущенному, вызывающему и аморальному поведению.","Perverted, whore-like."
ru,блядина,prostitute,"женщина, занимающаяся проституцией","Грубое и оскорбительное слово для обозначения женщины, которую говорящий считает ведущей беспорядочную половую жизнь; более резкая форма слова блядь.","Slut. Emphatic form ofблядь. As its name is pronounced almost the same way, the French baby food producer “blédina” did not quite meet its expectations on the Russian market."
ru,блядки,female dogs,собака (самка),"Сексуальные отношения с женщинами за деньги или случайные связи на одну ночь без эмоциональной привязанности, главным образом ради физического контакта; не включает сексуальные отношения с постоянным партнёром.","Sex with women of negotiable affection or one night stands. The emotional relationship is unimportant, the physical contact is the main aspect, it should therefore not be used to describe sex with a long time partner."
ru,блядовской,related to prostitutes or prostitution,связанный с проститутками или проституцией,"Относящийся к проституткам или проституции; крайне вульгарный, непристойный.","Slutty, related to prostitutes or prostitution. Seeблядский."
ru,блядовство,prostitution,заниматься проституцией,"Поведение, характеризующееся крайней распущенностью и чрезмерной сексуальной активностью.",Sluttiness. Seeблядство.
ru,блядофон,whore phone,Телефон проститутки,"Мобильный телефон, используемый для общения с любовницами или женщинами, предоставляющими интимные услуги, обычно с целью скрыть это от супруга.","Mobile phone used to contact lovers or ladies of negotiable affection, usually so as not to arouse suspicion of the spouse."
ru,блядоход,whore boat,корабль проститутки,"Грубое уничижительное слово для обозначения мужчины, который постоянно и намеренно ищет случайные сексуальные связи.",Word composed ofблядьandход(walk) which is interpreted in different ways:
ru,блядоход,whore boat,корабль проститутки,"Грубое уничижительное слово для обозначения мужчины, который постоянно и намеренно ищет случайные сексуальные связи.",Word composed ofблядьandход(walk) which is interpreted in different ways:
ru,блядоход,whore boat,корабль проститутки,"Грубое уничижительное слово для обозначения мужчины, который постоянно и намеренно ищет случайные сексуальные связи.",Word composed ofблядьandход(walk) which is interpreted in different ways:
ru,блядский,related to a prostitute,связанный с проституткой,"Используется для выражения сильного недовольства, раздражения или презрения по отношению к чему-либо; служит для усиления негативной оценки.","Having the attributes of a prostitute, figuratively used to emphasise."
ru,блядство,prostitution,проституция,"Поведение и образ жизни, отличающиеся распущенностью, вульгарностью и демонстративной сексуальностью, ассоциирующиеся с образом жизни проститутки.",Habits and life-style reminiscent of those of a prostitute;
ru,блядство,prostitution,проституция,"Поведение и образ жизни, отличающиеся распущенностью, вульгарностью и демонстративной сексуальностью, ассоциирующиеся с образом жизни проститутки.",Habits and life-style reminiscent of those of a prostitute;
ru,блядствовать,to behave like a prostitute,Вести себя как проститутка,"Постоянно вступать в случайные половые связи, часто менять сексуальных партнёров.",To whore around. Seeблядовать.
ru,блядунья,a woman who behaves promiscuously,легкомысленная женщина,"Пренебрежительное обозначение девушки, которую считают легкомысленной и ведущей беспорядочную половую жизнь.","Small-time slut, easy and worthless girl. Pejorative deformation ofблядь."
ru,блядушка,little female dog,маленькая сука,"Уничижительное уменьшительно-ласкательное слово, образованное от грубого термина, обозначающее женщину легкого поведения.",Spunk-dustbin. Disrespectful diminutive variant ofблядь.
ru,блядь,prostitute,проститутка,"Грубое и оскорбительное слово, обозначающее женщину, ведущую беспорядочную половую жизнь; также используется как ругательство в адрес женщины.","Whore, slut, bitch, woman of light virtue, promiscuous woman. Historically the noun means “lie, heresy, mistake” (and блѧдь can be found with this meaning in religious literature), and by extension a lost woman."
ru,"блядь (не ~, а честная давалка)",whore,проститутка,"О женщине, которая часто употребляет ругательство «блядь», но не является проституткой, а ведёт себя откровенно и свободно в интимных отношениях, руководствуясь чувствами, а не корыстью.","“Not prostitute, but honest slut”, to be used when somebody makes too frequent a use of the expletiveблядьin his speech."
ru,бляздец,no literal meaning,без буквального значения,"Грубое просторечное слово, выражающее сильное удивление или недоверие, образованное от нецензурных выражений.","Expression of surprise, disbelief. Combination ofблядьandпиздец."
ru,бляндинка,a woman with blonde hair,женщина с золотыми волосами,"Женщина со светлыми волосами, характеризующаяся вызывающим или распущенным поведением.","Slut, tramp (блядь + блондинка)."
ru,бляпашлифсенахуймудаки,No standard meaning; a combination of offensive words,Нет стандартного значения; сочетание нескольких оскорбительных слов,"Грубое нецензурное выражение, выражающее сильное раздражение и злость по отношению к окружающим, объединяющее несколько оскорбительных слов и пожелание уйти.","Expression of exasperation and anger with the users around. Contraction ofбля, пошли все нахуй,мудаки(“damn, go all fuck yourselves, dickheads”) which is sometimes shortened asБПФНМ."
ru,блять,prostitute,проститутка,"Грубое нецензурное слово, употребляемое для выражения раздражения, удивления или других сильных эмоций.",Deformation ofблядь.
ru,бляха-муха,tin fly,оловянная муха,"Восклицание, выражающее удивление или раздражение; смягчённая форма ругательства.","Exclamation of surprise, expletive.Бляха(which actually means “steel plate”) is a euphemism forблядь,муха(a fly) is added as rhyming slang."
ru,бодун,hangover,похмелье,"Плохое самочувствие после чрезмерного употребления алкоголя, сопровождающееся головной болью, жаждой и слабостью.","Hangover,быть с бодуна— to have a hangover."
ru,болван,a block of wood,деревянный брусок,"Человек, характеризующийся глупостью и ограниченностью.","Idiot, stupid."
ru,болт,bolt,болт,"Грубое разговорное слово, обозначающее мужской половой член.",Penis — “bolt” in standard Russian.
ru,болт (забить ~),bolt,болт,"Сознательно игнорировать что-либо, проявлять безразличие.","To ignore, not to give a shit about something. Euphemism forхуй забить."
ru,бомбануть,to explode bomb,взрыв бомбы,"Внезапно сильно разозлиться или возмутиться, проявляя чрезмерную эмоциональную реакцию, агрессию или ненависть.","To experience sudden severe irritation, resentment, accompanied by overreaction, hatred or retaliatory aggression."
ru,бомбила,bombila,"транслитерация ""бомбила"", без стандартного значения","Частный водитель, перевозящий пассажиров без официального разрешения, часто нарушающий правила дорожного движения и использующий старые автомобили.","Illegal cab driver. As Caucasians often earn money working this way in Moscow, often disregarding the highway code, and driving cars past their prime, these taxis are also known asшахид-такси(шахидis loaned from Arabic شَهيد šahīd, martyr, and has been made well-known through suicide bombings)."
ru,бомбить,"to bomb, to explode","бомба, взрыв",Заниматься частным извозом на личном автомобиле без официальной лицензии.,"To moonlight as a taxi without licence and in a private car, “literally to bomb”. The driver is calledбомбила."
ru,бомж,homeless person,бездомный человек,"Человек, не имеющий постоянного жилья и средств к существованию.","Hobo, homeless person. Short forбез определённого места жительства(without defined residence)."
ru,бомжатник,a place where homeless people live,приют для бездомных,"Грязное, захламлённое или неухоженное помещение, иногда служащее приютом для бездомных.","Dump, pigpen, shelter for the homeless."
ru,бомж-пакет,homeless person bag,мешок бездомного,"Пакет с лапшой быстрого приготовления, обычно азиатского происхождения.","Instant noodles, usually of Asian origin."
ru,Бонжурия,Good day,"приветствие из французского слова ""bonjour""","Шутливое название Франции, образованное от французского слова «бонжур».","France, also calledстрана Бонжурия(the land of bonjour)."
ru,ботаник (ботан),botanist,ботаник,"Человек, который много времени посвящает учебе и науке, обычно не интересуется модой или развлечениями.","A book worm, nerd, geek."
ru,ботать по фене,study using Fenya,Использовать Феню для обучения,разговаривать на жаргоне преступников,"Speak cant, speak in the cryptolect ot the criminal underworld, s.феня."
ru,боянист,accordion player,аккордеонист,"Пользователь, который часто публикует давно известные шутки, выдавая их за новые.",User repeatedly posting old jokes (баяны) as though they were new.
ru,"братан (братуха, брачо)",brother,брат,Очень близкий друг или товарищ.,"Bro, brother, friend, associate."
ru,брехня,falsehood,ложное утверждение или неправдивая речь,"Преднамеренное искажение правды, ложное утверждение или обман.",Lie.
ru,брушить,to brush,Чистить или наносить с помощью щетки.,"Выполнять работу, заниматься трудовой деятельностью.",To work.
ru,брюлики,small diamonds,маленький алмаз,ювелирные украшения с драгоценными камнями,"Bling, jewellery."
ru,бубен,tambourine,бубенчик,"Человек, вызывающий раздражение или желание нанести удар.","Face, especially the kind that is waiting for a fist to hit it."
ru,бубенцы,small bells,"маленький колокольчик, издающий звонкий звук","Разговорное слово, обозначающее мужские яички.",Testicles. Literally “small metallic bells”.
ru,бугага,onomatopoeia for loud laughter,звукоподражание громкому смеху,"Выражение смеха, применяемое для передачи весёлой или насмешливой реакции.",Symbolises laughter (ha-ha-ha).
ru,бугор,bump,выпуклость,"Сленговое слово, обозначающее зарубежные, преимущественно западные страны.","Overseas, foreign countries.За бугром: abroad (mainly Western countries). The word comes from Russian cant and the mound (бугор) refers to the Ural, criminals sentenced to time in Siberia were over the mound —за бугром."
ru,будка,doghouse,будка для собаки,"Разговорное выражение, обозначающее лицо человека.",Face (“booth”).
ru,булкотряс,a device that shakes or vibrates a bulk or mass,устройство для встряхивания или вибрации большого количества предметов,"Ночной клуб, место для танцев и развлечений.","Night club, “bun-shaker”."
ru,бульбаш,potato,картофель,"Пренебрежительное прозвище белоруса, образованное от слова «бульба» (картофель), широко выращиваемого в Беларуси.","Belarusian, derived from the Belarusian wordбульба(potato) which was widely cultivated in Belarus as a result of Stolypin agrarian reforms (early 20th century)."
ru,бумер,boomer,"человек, издающий грохот или взрывной звук",Разговорное название автомобиля марки BMW.,"BMW, beamer, car from the Bayerische Motoren Werke AG. Sometimes also calledбомбаorбимер."
ru,бундес,federal,"федеральный, относящийся к федеративному государству","Сленговое обозначение гражданина Федеративной Республики Германия, использовавшееся среди теневых торговцев и спекулянтов, общавшихся с иностранными туристами в поздний советский период.","Western German, in the slang of shady dealers with foerign tourists in the late Soviet union."
ru,бункерный дед,bunker old man,Старик в бункере,"Прозвище Владимира Путина, указывающее на его изоляцию и уход от публичной жизни после начала пандемии коронавируса в 2020 году.","Nickname of Vladimir Putin, the “grandpa in the bunker”, who has shunned the public since the outbreak of the covid-virus in March 2020."
ru,буферастая,buffered or padded,буферный или заполненный,Женщина с большой грудью.,Big-tittied.
ru,бухарик,a person who drinks alcohol,пьяница,"Человек, регулярно употребляющий алкоголь в больших количествах.","Drunk, alcoholic."
ru,бухарь,January,январь — первый месяц года,"Шутливое название января, обусловленное большим количеством праздников и частым употреблением алкоголя в начале месяца.",Ironical name for January. Due to the numerous holidays in early January this month offers many opportunities to drink;
ru,бухарь,January,январь — первый месяц года,"Шутливое название января, обусловленное большим количеством праздников и частым употреблением алкоголя в начале месяца.",Ironical name for January. Due to the numerous holidays in early January this month offers many opportunities to drink;
ru,бухать,to drink,пить алкоголь,Употреблять алкогольные напитки в больших количествах с целью опьянения.,"To get drunk. Perfective:бухнуть. The initial meaning of the verb is to make a loud noise, to hit something heavily."
ru,бухло,liquor,алкогольный напиток,Разговорное обозначение алкогольных напитков.,"Booze, alcoholic beverages."
ru,бухой,drunk,пьяный,"Находящийся в состоянии опьянения, пьяный.","Drunk, pissed."
ru,быдлостан,country of cattle,страна коров,"Место, характеризующееся отсталостью, скукой и низким уровнем развития, где проживают ограниченные и некультурные люди.","Backward place, boring and behind the times area populated by Philistines."
ru,бычара,bull,бык,"Грубый, агрессивный человек, склонный к запугиванию или хулиганству.","Rough-mannered peasant, bully (literally “bull”)."
ru,бычить,to behave like a bull,Вести себя как бык,"Грубо и агрессивно возражать, скандалить или вести себя вызывающе по отношению к кому-либо.","To bitch, protest, make a scandal."
ru,бэушный,previously used,Ранее использованный,"Ранее использовавшийся, не новый, подержанный.","Second hand, used, derived from the short form ofбывший в употреблении (б/у)."
ru,валить,"to fell, to knock down","срубить, повалить",Быстро уходить из какого-либо места.,To run away.
ru,варзуха,a type of plant or herb,Растение или травянистое растение,"Ягодицы, задняя часть туловища.",Arse.
ru,варик,variant,"Вариант, обозначающий другой выбор или форму","Разговорное сокращённое слово, обозначающее вариант, часто употребляемое в речи молодёжи.","Variant, short forвариант, used by youths."
ru,ватник,quilted cotton-padded jacket,"стёганая хлопковая куртка, обычно для тепла","Оскорбительное обозначение человека с выраженными пророссийскими, патриотическими или националистическими взглядами, поддерживающего политику российских властей.","Russian patriot and nationalist, outspoken follower of Putin, who aims to compensate his meaningless life by glorifying the motherland. This insulting term derives from the name of a iconic soviet padded uniform jacket issued during WWII."
ru,вату катать,roll cotton wool,крутить вату,"Бездельничать, проводить время впустую.","To waste time, hang around."
ru,вафлёрка,waffle maker,вафельница,"Женщина, которая выполняет мужчине оральный секс.",Fellatrix.
ru,вафли ловить,catch waffles,Поймать вафлю,"Проводить время без дела, ничего не предпринимать, проявлять пассивность.","To stay with a gaping mouth, literally “to catch flying dicks”."
ru,вафлю ловить,catch a waffle,Поймать вафлю,Подключаться к сети Wi-Fi или улавливать её сигнал.,To get wi-fi (Russianвайфай) signal.
ru,вдувать,to blow into,вдувать воздух,"Грубое выражение, означающее вступление в половую связь с кем-либо.","Fuck, screw. Perfective:вдуть."
ru,вездеход,all-terrain vehicle,вездеход,"Документ, дающий право свободно проходить или проезжать в различные места или учреждения практически без ограничений.","Highly official identification document giving almost universal access, for example the ID of an assistant to a member of parliament."
