term_lang,word,conv_def,slang_def
EN,pusher,one who intrudes or pushes himself forward,one who sells illegal drugs
EN,puss,obscene terms for female genitals,face.
EN,quack,an untrained person who pretends to be a physician and who dispenses medical advice,to brag about one's self.
EN,quality,an essential and distinguishing attribute of something or someone; --Shakespeare,"good; excellent; ""awesome""; ""cool""."
EN,quarter,one of four equal parts,a quarter once (1/4 ounce) of illegal drugs.
EN,queen,the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs,"used among gay males for someone who is controlling, uncompromising"
EN,quid,the basic unit of money in Great Britain and Northern Ireland; equal to 100 pence,1 pound sterling.
EN,rack,framework for holding objects,breasts.
EN,racket,a loud and disturbing noise,noise.
EN,rad,a unit of absorbed ionizing radiation equal to 100 ergs per gram of irradiated material,"great; ""awesome""; ""cool"".  Somewhat antiquated - more commonly used in the 1980s.  From ""radical""."
EN,rag,a small piece of cloth or paper,A nasty or mean female
EN,rage,a feeling of intense anger,a fun activity or occasion.
EN,rail,a barrier consisting of a horizontal bar and supports,"a line of a snortable drug, such as cocaine."
EN,raincoat,a water-resistant coat,a condom.
EN,raisin,dried grape,"an elderly person, wrinkled like a raisin."
EN,ram,the most common computer memory which can be used by programs to perform necessary tasks while the computer is on; an integrated circuit memory chip allows information to be stored or accessed in any order and all storage locations are equally accessible,a derogatory term for an unattractive member of the opposite sex.
EN,random,lacking any definite plan or order or purpose; governed by or depending on chance,unexpected and surprising.
EN,rank,a row or line of people (especially soldiers or police) standing abreast of one another,awful-smelling.
EN,rap,a reproach for some lapse or misdeed,one's game
EN,rat,any of various long-tailed rodents similar to but larger than a mouse,B.action done by a person to ruin another person life by telling on them to authorities.   C.Person that is responsible of some people incarated because they feel low themselves and want people to believe criminals are it.  D.A person that spreads diseases by attack or sexually. E.Person who betrays friendship in any way not considered a missdeed.  F.a person who tells on you to people who didn't need to know G.A adult person that dates and/or considers being friends with underage people.
EN,ratchet,mechanical device consisting of a toothed wheel or rack engaged with a pawl that permits it to move in only one direction,"nasty, ghetto, or trifling."
EN,raw,informal terms for nakedness,"very good, excellent; ""cool""."
EN,razor,edge tool used in shaving,"""cool""; ""awesome""; ""neat""."
EN,real,any rational or irrational number,acting true to one's self.
EN,rebound,a movement back from an impact,"the period of time immediately after the end of a relationship, during which time the members of the relationship are incapable of entering into a new relationship in a healthy way."
EN,recognize,accept (someone) to be what is claimed or accept his power and authority,"to understand, comprehend."
EN,red,red color or pigment; the chromatic color resembling the hue of blood,mean; spiteful; cruel.
EN,reefer,marijuana leaves rolled into a cigarette for smoking,"a marijuana cigarette; ""joint""."
EN,reject,the person or thing that is rejected or set aside as inferior in quality,a disliked person.
EN,rep,informal abbreviation of `representative',"""reputation""."
EN,retard,a person of subnormal intelligence,an unintelligent person.
EN,rib,support resembling the rib of an animal,to make fun of.
EN,rice,grains used as food either unpolished or more often polished,"a modified, imported Japanese car."
EN,ricer,a kitchen utensil used for ricing soft foods by extruding them through small holes,"A distastefully modified vehicle, commonly of Asian origin.  Usually recognized by gratuitous display of the color yellow, performance parts stickers, large non-functional rear spoiler, extreme negative camber, 'fart tip', and lack of, or faux engine modifications."
EN,rig,gear (including necessary machinery) for a particular enterprise,a needle used to inject drugs.
EN,right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt,total.
EN,righteous,characterized by or proceeding from accepted standards of morality or justice; - James 5:16,"perfection, the ultimate in it's category"
EN,rim,the shape of a raised edge of a more or less circular object,"can also be used as an insult similar to ""Blow me!"""
EN,ring,a characteristic sound,a telephone call.
EN,ringer,a person who rings church bells (as for summoning the congregation),any athlete who benefits from dishonestly conferred advantages
EN,riot,a public act of violence by an unruly mob,something or someone extremely funny.
EN,rip,a dissolute man in fashionable society,"acronym for ""Reduction In Pay""."
EN,ripped,tear or be torn violently,muscular with extremely low body fat.
EN,river,a large natural stream of water (larger than a creek),the last card in Texas Hold'em.
EN,roast,a piece of meat roasted or for roasting and of a size for slicing into more than one portion,used in response to a person making fun of another.
EN,rock,a lump or mass of hard consolidated mineral matter,"of the ""rock and roll"" genre of music."
EN,rook,(chess) the piece that can move any number of unoccupied squares in a direction parallel to the sides of the chessboard,"abbreviated form of ""rookie""."
EN,rooster,adult male chicken,"a person who wakes up early in the morning; ""early riser""."
EN,root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,a session of sex.
EN,rubber,an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products,a condom.
EN,rude,socially incorrect in behavior,very cool.
EN,rule,a principle or condition that customarily governs behavior,to be excellent.
EN,rumble,a loud low dull continuous noise,a brawl.
EN,rump,the part of an animal that corresponds to the human buttocks,buttocks.
EN,run,a score in baseball made by a runner touching all four bases safely,a trip to acquire something.  Used with a noun.
EN,runner,someone who imports or exports without paying duties,"a promiscuous female; ""slut""."
EN,sack,a bag made of paper or plastic for holding customer's purchases,testicles.  Sentence implies to be masculine and not feminine.
EN,safe,strongbox where valuables can be safely kept,attractive.
EN,salty,engagingly stimulating or provocative,mean or disrespectful.
EN,sappy,"ludicrous, foolish",dramatic and emotional; cliche; often related to plots in movies and songs -- planned sadness followed by resolve; ex. most movies from the 1980s.
EN,sauce,flavorful relish or dressing or topping served as an accompaniment to food,"sexual activity up to the point of, but not including, sexual intercourse."
EN,sausage,highly seasoned minced meat stuffed in casings,a derogatory term for a male; especially one of low intelligence level and large muscles.
EN,savage,a member of an uncivilized people,"cool, very nice, in good quality."
EN,sawbuck,a framework for holding wood that is being sawed,a ten dollar bill.
EN,scab,someone who works (or provides workers) during a strike,"someone who borrows things and doesn\'t expect to pay them back.  (Origin: temporary replacements for workers on strike - ""scab labor"")."
EN,scam,a fraudulent business scheme,"a fraudulent business scheme; ""swindle""."
EN,scarf,a garment worn around the head or neck or shoulders for warmth or decoration,"To eat hastily, usually implies a general satisfaction with the quality of the food."
EN,scat,singing jazz; the singer substitutes nonsense syllables for the words of the song and tries to sound like a musical instrument,"feces; ""poop""."
EN,scene,the place where some action occurs,the sphere of activity of a group of people with some shared characteristic.
EN,schizophrenic,someone who is afflicted with schizophrenia,prone to rapidly changing one's mind.
EN,school,an educational institution,"to strongly defeat during a competitive activity. Etymology: someone that was ""schooled"" has been ""taken to school.""  That is, taught how to do something.  And then they are badly beaten in the process."
EN,scoop,the quantity a scoop will hold,a ride in a motor vehicle.
EN,scope,an area in which something acts or operates or has power or control:,"to see, look at."
EN,score,a number or letter indicating quality (especially of a student's performance),"exclamation of happiness; ""yay!""."
EN,scrap,a small fragment of something broken off from the whole,a dirty person who looks like crap.
EN,scratch,an abraded area where the skin is torn or worn off,money.  Usually a small amount.
EN,scream,sharp piercing cry,to be strongly in agreement.
EN,screw,someone who guards prisoners,"an expression of anger.  Roughly, ""let (one) be screwed""."
EN,screwed,have sexual intercourse with,in trouble or in a bad situation.
EN,scrub,dense vegetation consisting of stunted trees or bushes,"a man with no class.  For example: possessing little money, lacking in transportation, without a place to live, etc.  Popularized by the song ""No Scrubs"" on TLC\'s 1999 album FanMail."
EN,scud,the act of moving along swiftly (as before a gale),"an unattractive female.  ""Good from far, but far from good."""
EN,second,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites,a brief period of time more than a second.
EN,seed,a small hard fruit,semen.
EN,seedy,full of seeds,"unusual, strange, weird."
EN,serve,(sports) a stroke that puts the ball in play,To look good.
EN,session,a meeting for execution of a group's functions,a period of time during which one engages sexually with another person.
EN,sexy,marked by or tending to arouse sexual desire or interest,impressive.
EN,shack,small crude shelter used as a dwelling,to spend the night with someone.
EN,shag,a strong coarse tobacco that has been shredded,a session of sex.
EN,shake,building material used as siding or roofing,"noun: a poor-quality of marijuana, usually referring to the ""shaken-off"" weed found at the bottom of the bag, the pot dust sold at lower prices because of the high content of seeds and stems."
EN,shank,a cut of meat (beef or veal or mutton or lamb) from the upper part of the leg,a knife.
EN,sharp,a musical notation indicating one half step higher than the note named,"""cool"", ""phat""."
EN,shine,the quality of being bright and sending out rays of light,To not show up to an event.
EN,shoot,a new branch,to ejaculate.
EN,short,the location on a baseball field where the shortstop is stationed,"out of luck; ""in the doghouse""."
EN,shot,the act of firing a projectile,broken.
EN,shotgun,firearm that is a double-barreled smoothbore shoulder weapon for firing shot at short ranges,"the passenger seat in a vehicle.  Origin: the American west (i.e. during the 1800s.) The ""shotgun"" was the person that sat next to the driver of a wagon with a shotgun, watching for trouble.  When three or more people are to ride in a car, one of the non-drivers will often ""call""  shotgun, meaning that they get the privilege of riding in the passenger seat.To travel as an armed guard next to a vehicle\'s driver. Latterly, chiefly in America is to travel in a car\'s front passenger seat.  "
EN,shout,a loud utterance; often in protest or opposition,To treat someone to something.  (from New Zealand).
EN,shrapnel,shell containing lead pellets that explodes in flight,coins.
EN,shred,a tiny or scarcely detectable amount,"to perform an athletic sport such as surfing, skiing, or skateboarding well."
EN,shrimping,fish for shrimp,the sexual practice of toe sucking.
EN,sick,people who are sick,"great; amazing; ""cool""; ""awesome""."
EN,simmer,temperature just below the boiling point,to calm down. Note: usually used to warn someone that they need to calm down.
EN,sing,deliver by singing,"to tell the authorities details of a crime; ""rat out""."
EN,single,a base hit on which the batter stops safely at first base,"When a married couple's children are out of town visiting Grandma for a couple of weeks, allowing parents to go out and party."
EN,sister,a female person who has the same parents as another person,form of address for a female used by a close friend.
EN,skank,any substance considered disgustingly foul or unpleasant,"messy, run down, dilapidated."
EN,skate,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs,to leave.
EN,skater,someone who skates,"one eighth of an ounce of marijuana.  From ""eight"" + ""skater"".  Also sk8r or sk8er."
EN,skeet,the sport of shooting at clay pigeons that are hurled upward in such a way as to simulate the flight of a bird,"generally displeasing.  Primarily a St. Louis, MO, USA term."
EN,sketch,preliminary drawing for later elaboration,"to act excessively nervous, especially while on marijuana."
EN,sketchy,giving only major points; lacking completeness,"of questionable character, strange."
EN,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,to perform a handjob on two men at the same time.
EN,skin,a natural protective body covering and site of the sense of touch,a cigarette rolling paper.
EN,skirt,cloth covering that forms the part of a garment below the waist,a female.  Origin: Used mostly in the 30's and 40's. Revival of this term came during the resurgence of the swing and retro lifestyle in the late  1990's.
EN,skull,the bony skeleton of the head of vertebrates,fellatio.
EN,slab,block consisting of a thick piece of something,"street, from ""slab (large piece) of concrete."""
EN,slack,dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve,tolerance.
EN,slam,winning all or all but one of the tricks in bridge,poetry recital.
EN,slang,informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar,to deal drugs.
EN,slant,a biased way of looking at or presenting something,a person of East/Southeast Asian descent; a person with slanted eyes. 
EN,slap,a blow from a flat object (as an open hand),loud music.
EN,slash,a wound made by cutting,local slash; term for local lager or beer when in a foreign country.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.
EN,sledge,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,"to separate oneself from a female quickly due to obvious psychological problems and move on quickly for better dating prospects.  From popular comedian Tommy Sledge who say\'s ""I moved on, it\'s my job it\'s what I do.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found."
EN,slick,a slippery smoothness,you out-did someone in something.
EN,slide,a small flat rectangular piece of glass on which specimens can be mounted for microscopic study,to leave.
EN,sling,a highball with liquor and water with sugar and lemon or lime juice,to sell.
EN,slit,a long narrow opening,female genitals
EN,slope,an elevated geological formation,an Asian person.  Derogatory.
EN,slug,a projectile that is fired from a gun,"a commuter who ""hitchhikes"" a ride with an unknown driver at a designated pickup point.  Often used to take advantage of High Occupancy Vehicle (HOV) lanes during commute hours."
EN,slut,a dirty untidy woman,a promiscuous person.
EN,smack,a blow from a flat object (as an open hand),excellent.
EN,smash,a vigorous blow,"a successful thing, especially a movie."
EN,smoke,a cloud of fine particles suspended in a gas,a cigarette.
EN,snack,a light informal meal,"attractive female or male.  Quality of being a ""snack"" - snackiness.  Potential of being a ""snack"" - snackability.  Adjective forms - snacky, snackilicious.  v.  snack (as in, Man, I\'d love to snack on him for a bit!)  Variation:  n. snackycakes (pet name)."
EN,snag,a sharp protuberance,A powwow hook up.
EN,snake,limbless scaly elongate reptile; some are venomous,to steal.
EN,snap,the act of catching an object with the hands,"an exclamation of surprise or disappointment; ""damn""; ""darn""; ""shit""."
EN,snatch,a small fragment,female genitalia.
EN,sneak,a person who is regarded as underhanded and furtive and contemptible,to acquire discretely.
EN,snipe,Old or New World straight-billed game bird of the sandpiper family; of marshy areas; similar to the woodcocks,partially smoke cigarette
EN,snow,precipitation falling from clouds in the form of ice crystals,cocaine.
EN,snowball,plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions,"a sexual practice where a person performs fellatio on a male until the male ejaculates, then spits the semen into the male's mouth."
EN,snowflake,a crystal of snow,A person who thinks they are perfect and unique when in fact they are not and are like everyone else.
EN,snuff,the charred portion of a candlewick,to punch.
EN,sod,surface layer of ground containing a mat of grass and grass roots,"bastard.  From ""Sodomite""."
EN,soft,yielding readily to pressure or weight,Effeminate.  Easy-going.  Repressed.  Womanly.
EN,solid,matter that is solid at room temperature and pressure,difficult.
EN,son,a male human offspring,"friend; ""dude""."
EN,sound,the particular auditory effect produced by a given cause,"good, great, fantastic, etc."
EN,sow,an adult female hog,"an overweight female.  From the non-slang definition of ""sow"": a female pig.  See also heifer."
EN,spade,a playing card in the major suit that has one or more black figures on it,to flirt with a person.
EN,spam,a canned meat made largely from pork,off-topic messages posted to an internet forum.
EN,spank,a slap with the flat of the hand,really sharp and clean looking
EN,spec,a detailed description of design criteria for a piece of work,"""specification""."
EN,special,a special offering (usually temporary and at a reduced price) that is featured in advertising,"retarded, or simply unintelligent."
EN,spike,a transient variation in voltage or current,to secretly put alcohol in a non-alcoholic beverage.
EN,spinner,someone who spins (who twists fibers into threads),a petite female.  Origin: a woman small enough that she can be spun around while on top of a man during sex.
EN,spit,a narrow strip of land that juts out into the sea,"to say.  Has somewhat of a negative context, so one usually uses this term to refer to people saying things one doesn't agree with."
EN,spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,I'm from England and Spooning is when a person male or female get down on a partners genitals front or rear and with their tongue lick them out pleasurably to ecstasy.
EN,spot,a point located with respect to surface features of some region,a place to hang out or party.
EN,spud,an edible tuber native to South America; a staple food of Ireland,"noun, means acting like a vegetable, dense, not too alert."
EN,spyware,computer software that obtains information from a user's computer without the user's knowledge or consent,"software that lets third parties monitor a user\'s activities and personal data.  From ""spy"" + ""software""."
EN,square,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon,"with debts settled; ""even""."
EN,squat,exercising by repeatedly assuming a crouching position with the knees bent; strengthens the leg muscles,"anything, used in the negative to mean nothing."
EN,squeeze,the act of gripping and pressing firmly,the primary focus of one's romantic life.
EN,squid,(Italian cuisine) squid prepared as food,"sucker, mark, bitch."
EN,stack,an orderly pile,thousand dollars.
EN,stacked,load or cover with stacks,large breasted.
EN,stallion,uncastrated adult male horse,"an extremely handsome, well built man - usually a stripper - whose body is in great shape. A perfect ""10"".Meaning that his body makes a woman want to fantasize about riding him sexually like a horse. body literally looks like a race horse.The word ""thoroughbred"" refers to a woman in this same way."
EN,steal,an advantageous purchase,to hit someone (usually in the face).
EN,steamer,a clam that is usually steamed in the shell,"feces; ""turd""."
EN,steaming,travel by means of steam power,very drunk.
EN,stem,(linguistics) the form of a word after all affixes are removed,"acronym for ""science, technology, engineering, and mathematics""."
EN,step,any maneuver made as part of progress toward a goal,"to ""step up"" to a fight."
EN,stewed,be in a huff; be silent or sullen,drunk.
EN,stick,an implement consisting of a length of wood,a person who lives in a rural area.
EN,stink,a distinctive odor that is offensively unpleasant,a commotion.
EN,stole,a wide scarf worn about their shoulders by women,"to punch or attack, typically with no prior warning. Also stole on."
EN,stone,a lump or mass of hard consolidated mineral matter,complete or completely; wholly; perfect or perfectly.
EN,stoner,an attacker who pelts the victim with stones (especially with intent to kill),a person who frequently smokes marijuana.
EN,straight,a heterosexual person; someone having a sexual orientation to persons of the opposite sex,fine; okay.
EN,strap,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position,to carry a firearm.
EN,strawberry,sweet fleshy red fruit,"a prostitute, or one who sells or barters sexual services."
EN,stretch,a large and unbroken expanse or distance,a period of time.
EN,stroll,a leisurely walk (usually in some public place),"an area, such as a particular street, where prostitutes solicit customers."
EN,strop,a leather strap used to sharpen razors,a temper tantrum.
EN,stuff,the tangible substance that goes into the makeup of a physical object,The male or female genitalia.
EN,stump,the base part of a tree that remains standing after the tree has been felled,to leave a person without an answer.
EN,stunt,a difficult or unusual or dangerous feat; usually done to gain attention,to show off.  Even if a chain you have on isn't real you can still stunt or be a stunna.
EN,sucker,a person who is gullible and easy to take advantage of,an imbecile.
EN,sugar,a white crystalline carbohydrate used as a sweetener and preservative,name for an attractive friend
EN,sup,a small amount of liquid food,"a greeting, similar to ""What\'s going on?""  A shortened version of ""What\'s up?"""
EN,super,a caretaker for an apartment house; represents the owner as janitor and rent collector,"a landlord.  From ""superintendent""."
EN,superman,a person with great powers and abilities,a talented man.
EN,swag,valuable goods,"an approximation or educated guess.  Acronym of ""scientific wild-assed guess.""  Contrast with the less-precise ""wag"" (wild-assed guess)."
EN,swagger,an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,"a person's style, attitude, general demeanor."
EN,swallow,a small amount of liquid food,to swallow a man's ejaculate during oral sex.
EN,sway,controlling influence,To hit with great force; knock out
EN,sweat,salty fluid secreted by sweat glands,to worry. Also sweat it.
EN,sweet,English phonetician; one of the founders of modern phonetics (1845-1912),"good, excellent, fun; ""cool""."
EN,swell,the undulating movement of the surface of the open sea,"good, cool."
EN,swish,a brushing or rustling sound,to walk effeminately.
EN,switch,control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit,when a person normally speaks in a certain manner but then switches to the colloquial style with whom he or she is currently conversing.
EN,ta,a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite,"""thank you.""  Used predominantly in the UK and Australia."
EN,tab,the bill in a restaurant,A fat girl. Tilt ass bitch. The ones that lower your car when they get in.
EN,taco,(ethnic slur) offensive term for a person of Mexican descent,a vulva.
EN,tag,"a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.",Wow!
EN,tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,attractive females.
EN,taint,the state of being contaminated,perineum.
EN,talent,natural abilities or qualities,attractive women and/or men.
EN,tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads,"to overcome, to conquer.If used reflexively, may take on opposite meaning, as in:"
EN,tap,the sound made by a gentle blow,to have sex with.
EN,tart,a woman who engages in sexual intercourse for money,"A person, usually female, that is a show-off or just a stupid bimbo."
EN,tasty,pleasing to the sense of taste,"really good, attractive, or just cool."
EN,tax,charge against a citizen's person or property or activity for the support of government,to make a person pay.
EN,teach,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718),form of address for a teacher.
EN,tender,something that can be used as an official medium of payment,Very cool.
EN,thick,the location of something surrounded by other things,having a nice body.  Usually used towards females.
EN,thing,a special situation,a penis.
EN,thirsty,needing moisture,desperate.
EN,thump,a heavy dull sound (as made by impact of heavy objects),"to strike with great force, as in a punch."
EN,tight,closely constrained or constricted or constricting,"very good, excellent; ""cool""; ""awesome""."
EN,tilt,a combat between two mounted knights tilting against each other with blunted lances,"house, apartment, home, place you live."
EN,tin,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide,badge carried by law enforcement officials.
EN,ting,a light clear metallic sound as of a small bell,"""thing""."
EN,tip,the extreme end of something; especially something pointed,"the glans (""head"") of the penis."
EN,tipsy,slightly intoxicated,drunk.
EN,tit,either of two soft fleshy milk-secreting glandular organs on the chest of a woman,"breast.  Likely from the word ""teat."""
EN,toaster,someone who proposes a toast; someone who drinks to the health of success of someone or some venture,an underpowered computer.
EN,tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,to French kiss.
EN,toolbox,a box or chest or cabinet for holding hand tools,"a group of ""tools."""
EN,toot,a blast of a horn,"to flatulate; ""fart"".  Childish."
EN,top,the upper part of anything,"great; excellent; ""awesome""."
EN,torch,a light usually carried in the hand; consists of some flammable substance,to over-apply flame to
EN,tosser,terms of abuse for a masturbator,"a general insult; ""jerk"", ""asshole"".  Literally: one who masturbates.  See toss."
EN,total,the whole amount,to wreck a vehicle such that repairs would cost more than the value of the (unwrecked) vehicle.
EN,track,a line or route along which something travels or moves,a place where prostitutes gather to find clients.
EN,trap,a device in which something (usually an animal) can be caught and penned,a place where illegal drug transactions take place.  Generally considered to be the ghetto or a specific place in the ghetto like a certain corner or parking lot of a store.  Most often linked but not limited to the sale of crack/cocaine.
EN,trash,worthless material that is to be disposed of,a low-class person.
EN,treat,something considered choice to eat,to get talked about or put down badly
EN,tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,a large penis.
EN,trick,a cunning or deceitful action or device,cool.
EN,trill,a note that alternates rapidly with another note a semitone above it,"extremely cool; awesome to see; very enjoyable; ""eye candy""."
EN,trip,a journey for some purpose (usually including the return),the period of time during which a person is under the influence of LSD.
EN,troll,(Scandanavian folklore) a supernatural creature (either a dwarf or a giant) that is supposed to live in caves or in the mountains,an unattractive female or one with a bad reputation.
EN,trooper,a soldier in a motorized army unit,one who handles adversity well
EN,trump,a playing card in the suit that has been declared trumps,"to flatulate; ""break wind""."
EN,tug,a sudden abrupt pull,a session of masturbation.
EN,tunnel,"a passageway through or under something, usually underground (especially one for trains or cars)",to defraud with large gains.  Also tunnel out.
EN,turf,surface layer of ground containing a mat of grass and grass roots,"the area claimed by a person, group, gang, etc."
EN,turkey,large gallinaceous bird with fan-shaped tail; widely domesticated for food,an African American who is confused about their ethnic heritage.  Derogatory.  From the animal turkey having both dark and light meat.  Eventually incorporated into general slang as a clueless person.
EN,tweak,a squeeze with the fingers,crystal methamphetamine.
EN,tweed,thick woolen fabric used for clothing; originated in Scotland,"marijuana.  From ""weed""."
EN,twisted,"to move in a twisting or contorted motion, (especially when struggling)","sadistic; ""messed up""."
EN,twitter,a series of chirps,"the perineum.  From, ""The skin between your twat and your shitter."""
EN,use,the act of using,to habitually take a drug or drink alcohol.
EN,vanilla,any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers,"bland, boring, normal."
EN,vexed,"cause annoyance in; disturb, especially by minor irritations",very angry.
EN,vicious,(of persons or their actions) able or disposed to inflict pain or suffering,"Awesome, cool, wicked sweet."
EN,viper,venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw,archaic term for a marijuana smoker.  Originated among black jazz musicians of the 1930s.
EN,virgin,a person who has never had sex,inexperienced or having never experienced something.
EN,wad,a small mass of soft material,"A large amount of paper money, usually in a wallet or pants pocket.  Sometimes referred to as ""a wad of dough."""
EN,wasted,spend thoughtlessly; throw away,extremely drunk.
EN,way,how something is done or how it happens,very.
EN,weak,wanting in physical strength,inadequate or displeasing.
EN,well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,"""very""."
EN,wet,wetness caused by water,"very good, excellent; ""cool""."
EN,whatever,one or some or every or all without specification,"Used for almost anything anymore.  (1) ""I don\'t care,""  (2) ""Yeah right! (sarcasm)""  (3) Tacked at the end of a listing of things, like etc."
EN,whiff,a short light gust of air,"while playing a sport, to miss the ball / puck."
EN,whip,an instrument with a handle and a flexible lash that is used for whipping,a car.
EN,whipped,beat severely with a whip or rod,extremely obedient to one's significant other.  Also pussy-whipped.
EN,white,a member of the Caucasoid race,cocaine.
EN,whore,a woman who engages in sexual intercourse for money,"a greeting, usually between males."
EN,wicked,morally bad in principle or practice,"very good, excellent; ""cool""; ""awesome""."
EN,wig,hairpiece covering the head and made of real or synthetic hair,Head.
EN,win,a victory (as in a race or other competition),some amount of a good thing.  Contrast with fail.
EN,wired,provide with electrical circuits,"under the influence of stimulants, e.g. caffeine or methamphetamines."
EN,wizard,someone who is dazzlingly skilled in any field,interjection used to indicate that something is cool.  Originated in Britain.  Popularized in modern slang by the movie Juno.
EN,wood,the hard fibrous lignified substance under the bark of trees,an erection.
EN,woody,made of or containing or resembling wood,An Erection.
EN,word,a unit of language that native speakers can identify,seriously.
EN,work,activity directed toward making or doing something,"to be put down, insulted"
EN,wow,a joke that seems extremely funny,"an exclamation of delight, surprise or amazement."
EN,wrecked,smash or break forcefully,severely under the influence of drugs.
EN,y,a silvery metallic element that is common in rare-earth minerals; used in magnesium and aluminum alloys,"""yes"".  Used in text-based communication such as instant messaging."
EN,yahoo,a person who is not very intelligent or interested in culture,a weird person.
EN,yale,a university in Connecticut,Cocaine. Because students at Yale University are presumably rich and can afford to buy cocaine.
EN,yam,edible tuber of any of several yams,slam dunking in the sport of basketball; to jam; throw down.
EN,yap,informal terms for the mouth,mouth.
EN,yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride,one hundred dollars.
EN,yawn,an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom,spoken to indicate something is boring.
EN,yea,an affirmative,"spelling variant of ""yeah""."
EN,yellow,yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons,any of a number of drugs whose capsules / pills are yellow in color.
EN,young,any immature animal,Small or tight fitting clothes
EN,z,the ending of a series or sequence; --Revelation,"In the example sentence, a ""z-bag"" is a bag containing an ounce of something - marijuana in this case."
EN,zen,school of Mahayana Buddhism asserting that enlightenment can come through meditation and intuition rather than faith; China and Japan,"to be at peace... back to wholeness, so to speak."
EN,zip,a quantity of no importance,anything.
EN,zoned,regulate housing in; of certain areas of towns,"very intoxicated; spacey.  Also zoned out.  A ""zone trooper"" is someone apt to be in this state."
RU,абзац,Paragraph,Total disaster; a complete mess; something has gone terribly wrong.
RU,абрек,A mountain outlaw or bandit from the Caucasus region.,"Person from the Caucasus region, often used to refer to someone from the North Caucasus, sometimes with connotations of being a bandit or outlaw."
RU,автозак,Automobile for transporting prisoners.,Prisoner transport van
RU,автоксива,Driver’s license,Driver’s license
RU,ага,A type of tick (parasitic arachnid).,"Yeah, right. Sign of agreement or confirmation."
RU,адназначна,Unambiguously,Absolutely; definitely; for sure.
RU,адстой,Sediment,"crap, garbage, bullshit"
RU,акробат,Acrobat.,Passive homosexual.
RU,албанский,"Albanian (relating to Albania or its people, language, or culture)","A deliberately distorted or humorous form of Russian internet slang, often used to mock language mistakes or playful misspellings online."
RU,алик,A diminutive form of the male given name Alexander.,Alcoholic.
RU,алкаш,Alcoholic,Drunkard.
RU,аллора,"Then, so, well (used as a filler word in Italian conversation).","Spic, wog, Italian (used derogatorily for Italians or Mediterranean foreigners, especially those trading illegally)."
RU,амара,Amara is a female given name.,"Whore, prostitute"
RU,америкосы,"Americans, citizens of the United States of America.","Yankees, citizens of the United States of America."
RU,амортизатор,Shock absorber,Tits
RU,анашист,An adherent of anarchism; anarchist.,Pothead; marijuana user
RU,АПВС?,Why are you asking?,Why are you asking?
RU,арбуз,Watermelon,Billion
RU,армянская королева,Armenian queen,"Passive homosexual (derogatory; literally “Armenian queen,” based on a stereotype about Armenians)."
RU,аська,Diminutive form of the female given name Asya.,The instant messaging program ICQ (computer slang).
RU,атасный,"Alarm, danger, alert.","Awesome, cool, fantastic, dope."
RU,афтар,Author,"Author (especially the writer of an internet post or comment; playful or mocking misspelling of ""author"")."
RU,аффтар жжот,author sets on fire,The author rocks.
